source_id,title,organization,year,language,type,topic_tags,priority,used_for,limitations,url,file_path,status,access_date,notes_done
who_safety_planning,Safety planning guidance（待核实具体版本）,World Health Organization,,en,guideline,safety|safety_planning|suicide_prevention,P0,safety,需核实具体文件版本、适用地区和危机资源；不能替代当地紧急服务,https://www.who.int/teams/mental-health-and-substance-use/treatment-care/mental-health-gap-action-programme/evidence-centre/self-harm-and-suicide/safety-planning-interventions,knowledge_sources/raw/safety/who_safety_planning.html,summarized,2026-06-21,yes
who_mhgap_self_harm_suicide,mhGAP Intervention Guide: Self-harm / Suicide module,World Health Organization,2016,en,clinical_guideline,safety|self_harm|suicide_prevention,P0,safety,面向非专科卫生服务；使用时需核实版本并适配当地转介资源,https://www.who.int/teams/mental-health-and-substance-use/treatment-care/mental-health-gap-action-programme/evidence-centre/self-harm-and-suicide,knowledge_sources/raw/safety/who_mhgap_self_harm_suicide.html,summarized,2026-06-21,yes
nhc_hotline_guide,心理援助热线工作指南（待核实正式名称）,National Health Commission of the PRC,,zh-CN,policy_guidance,safety|crisis_hotline|china,P0,safety,需核实正式文件名称、版本、适用范围和现行有效性,https://www.nhc.gov.cn/wjw/c100175/202101/ce4756ac40e742a48b00ff32d3807825.shtml,knowledge_sources/raw/safety/nhc_hotline_guide.html,summarized,2026-06-22,yes
nhc_12356,全国统一心理援助热线 12356 相关公开资料,National Health Commission of the PRC,2025,zh-CN,public_service_information,safety|crisis_hotline|china,P0,safety,服务覆盖、接通方式和地区资源可能变化，需在使用前复核,https://www.nhc.gov.cn/yzygj/c100068/202412/49a1a65386cd4be582d4702fd0926ee8.shtml,knowledge_sources/raw/safety/nhc_12356.html,summarized,2026-06-22,yes
who_self_help_interventions,WHO low-intensity self-help interventions（待核实具体资料）,World Health Organization,,en,guidance,self_help|low_intensity_intervention,P1,self_help,需核实具体目标人群、实施条件和是否要求专业人员支持,https://www.who.int/news/item/01-06-2026-who-launches-new-guide-to-help-scale-psychological-self-help,knowledge_sources/raw/self_help/who_self_help_interventions.html,summarized,2026-06-21,yes
who_doing_what_matters,Doing What Matters in Times of Stress: An Illustrated Guide,World Health Organization,2020,en,self_help_guide,self_help|stress_management|grounding,P1,self_help,通用压力管理资料，不替代评估或治疗；需要考虑语言和文化适配,https://www.who.int/publications/i/item/9789240003927,knowledge_sources/raw/self_help/who_doing_what_matters.html,summarized,2026-06-21,yes
nimh_self_care,Caring for Your Mental Health,National Institute of Mental Health,,en,public_education,self_help|self_care|help_seeking,P1,self_help,公共教育内容较概括，不用于个体诊断、治疗选择或危机处置,https://www.nimh.nih.gov/health/topics/caring-for-your-mental-health,knowledge_sources/raw/self_help/nimh_self_care.html,summarized,2026-06-21,yes
nhs_guided_self_help,Guided self-help,National Health Service,,en,public_education,self_help|guided_self_help|low_intensity_intervention,P1,self_help,基于英国 NHS 服务语境，不能直接视为其他地区的服务建议,https://www.england.nhs.uk/mental-health/adults/nhs-talking-therapies/,knowledge_sources/raw/self_help/nhs_guided_self_help.html,summarized,2026-06-21,yes
nice_depression_ng222,Depression in adults: treatment and management (NG222),National Institute for Health and Care Excellence,2022,en,clinical_guideline,common_issues|depression|adult_mental_health,P0,common_issues,成人临床指南且基于英国服务体系，不可直接改写为诊断或自助治疗方案,https://www.nice.org.uk/guidance/ng222,knowledge_sources/raw/common_issues/nice_depression_ng222.html,summarized,2026-06-22,yes
nice_anxiety_cg113,Generalised anxiety disorder and panic disorder in adults: management (CG113),National Institute for Health and Care Excellence,2011,en,clinical_guideline,common_issues|anxiety|panic|adult_mental_health,P0,common_issues,成人临床指南且基于英国服务体系，需核实更新状态和适用边界,https://www.nice.org.uk/guidance/cg113,knowledge_sources/raw/common_issues/nice_anxiety_cg113.html,summarized,2026-06-22,yes
nhs_cbt,Cognitive behavioural therapy (CBT),National Health Service,,en,public_education,methods|cbt|psychological_therapy,P1,methods,仅用于理解方法框架，不能据此让 Demo 提供 CBT 治疗,https://www.nhs.uk/tests-and-treatments/cognitive-behavioural-therapy-cbt/,knowledge_sources/raw/methods/nhs_cbt.html,summarized,2026-06-21,yes
nimh_psychotherapies,Psychotherapies,National Institute of Mental Health,,en,public_education,methods|psychotherapy|treatment_overview,P1,methods,治疗方法概览，不用于推荐具体疗法、诊断或替代专业人员,https://www.nimh.nih.gov/health/topics/psychotherapies,knowledge_sources/raw/methods/nimh_psychotherapies.html,summarized,2026-06-21,yes
moe_student_mental_health_2023_2025,全面加强和改进新时代学生心理健康工作专项行动计划（2023—2025年）,Ministry of Education of the PRC,2023,zh-CN,policy,student_mental_health|school|policy|china,P0,student_mental_health,政策文件不等同于临床指南；后续需核实现行状态和学校实施语境,https://www.moe.gov.cn/srcsite/A17/moe_943/moe_946/202305/t20230511_1059219.html,knowledge_sources/raw/student_mental_health/moe_student_mental_health_2023_2025.html,summarized,2026-06-22,yes
who_ai_health_ethics,Ethics and governance of artificial intelligence for health,World Health Organization,2021,en,ethics_guidance,ai_ethics_privacy|health_ai|governance|human_rights,P0,ai_ethics_privacy,高层伦理治理指南，需结合本地法律、产品场景和后续更新使用,https://www.who.int/publications/i/item/9789240029200,knowledge_sources/raw/ai_ethics_privacy/who_ai_health_ethics.html,summarized,2026-06-21,yes
apa_app_evaluation_model,App Evaluation Model,American Psychiatric Association,,en,evaluation_framework,ai_ethics_privacy|mental_health_apps|privacy|evaluation,P1,ai_ethics_privacy,主要面向心理健康应用评估，并非专门针对生成式 AI 或本地法律合规,https://www.psychiatry.org/psychiatrists/practice/mental-health-apps/the-app-evaluation-model,knowledge_sources/raw/ai_ethics_privacy/apa_app_evaluation_model.html,summarized,2026-06-22,yes
who_mental_health_at_work_guideline,Guidelines on mental health at work,World Health Organization,2022,en,clinical_guideline,workplace_mental_health|work_stress|organizational_interventions,P0,workplace_mental_health|common_issues,面向工作场所政策与专业实践；不能把组织层建议简化为由个体独自承担的自助任务,https://www.who.int/publications/i/item/9789240053052,knowledge_sources/raw/workplace_mental_health/who_mental_health_at_work_guideline.html,summarized,2026-07-15,yes
nice_workplace_wellbeing_ng212,Mental wellbeing at work (NG212),National Institute for Health and Care Excellence,2022,en,guideline,workplace_mental_health|work_stress|supportive_workplace,P0,workplace_mental_health|common_issues,主要针对英国工作场所；组织责任和服务路径不能直接套用于其他地区或具体雇主,https://www.nice.org.uk/guidance/ng212/resources/mental-wellbeing-at-work-pdf-66143771841733,knowledge_sources/raw/workplace_mental_health/nice_workplace_wellbeing_ng212.pdf,todo,,no
nice_social_anxiety_cg159,"Social anxiety disorder: recognition, assessment and treatment (CG159)",National Institute for Health and Care Excellence,2013,en,clinical_guideline,common_issues|social_anxiety|avoidance,P1,common_issues,临床指南中的诊断与治疗建议只能由合格专业人员使用；产品仅抽取识别维度和求助边界,https://www.nice.org.uk/guidance/cg159/resources/social-anxiety-disorder-recognition-assessment-and-treatment-pdf-35109639699397,knowledge_sources/raw/common_issues/nice_social_anxiety_cg159.pdf,todo,,no
nhs_grief_bereavement_loss,Grief after bereavement or loss,National Health Service,,en,public_education,common_issues|grief|bereavement|loss,P1,common_issues|self_help,公众教育资料不能用于诊断复杂性哀伤；持续功能受损或安全风险需要专业评估,https://www.nhs.uk/mental-health/feelings-symptoms-behaviours/feelings-and-symptoms/grief-bereavement-loss/,knowledge_sources/raw/common_issues/nhs_grief_bereavement_loss.html,summarized,2026-07-15,yes
