entry_key,type,id,name,source_path,review_status,normalized_review_status,source_level,risk_class,summary,checklist.clinical_or_psychological_accuracy,checklist.safety_boundary_ok,checklist.non_diagnostic_wording_ok,checklist.no_treatment_or_effect_promise,checklist.escalation_or_help_seeking_ok,checklist.privacy_or_sensitive_data_ok,checklist.localization_needed,review_decision,reviewer,reviewed_at,reviewer_notes,required_changes
"issue_type:academic_stress","issue_type","academic_stress","学业 / 考试压力","server/knowledge/issue_types/academic_stress.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","由考试、论文、成绩、升学或学业比较带来的现实负荷和预期压力。 Key dimensions: 截止时间与现实任务; 失败预期; 学习功能与作息; 支持和资源 Escalation signals: 因压力无法维持基本生活; 因成绩表达自伤或自杀意图","","","","","","","","","","","",""
"issue_type:anxiety","issue_type","anxiety","焦虑 / 担心 / 紧张","server/knowledge/issue_types/anxiety.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","围绕现实或预期威胁的持续担心、警觉和身体紧张，不直接等同于焦虑障碍。 Key dimensions: 担心对象与现实依据; 频率和可控性; 身体反应; 睡眠专注与回避 Escalation signals: 长时间完全无法睡眠; 明显失控或无法保证安全","","","","","","","","","","","",""
"issue_type:family_pressure","issue_type","family_pressure","家庭压力","server/knowledge/issue_types/family_pressure.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","家庭期待、冲突、经济依赖、照护责任或控制带来的压力和边界困难。 Key dimensions: 压力来源; 现实依赖与选择空间; 责任和边界; 暴力威胁与安全 Escalation signals: 家暴、威胁或限制人身自由; 照护压力已使基本生活无法维持","","","","","","","","","","","",""
"issue_type:grief_loss","issue_type","grief_loss","丧失 / 哀伤","server/knowledge/issue_types/grief_loss.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","因死亡、关系结束、失去工作或住所等重要丧失出现的悲伤、麻木、愤怒、内疚或生活失衡，不直接等同于心理障碍。 Key dimensions: 丧失事件和发生时间; 当前主要情绪与变化节奏; 睡眠、饮食和日常功能; 现实支持与安全状态 Escalation signals: 出现自伤、自杀或不想活的想法; 长期无法恢复基本生活; 现实暴力或即时人身危险","","","","","","","","","","","",""
"issue_type:interpersonal","issue_type","interpersonal","人际关系困扰","server/knowledge/issue_types/interpersonal.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","朋友、同学、同事或室友关系中的冲突、排斥、误解、边界和表达困难。 Key dimensions: 具体互动事实; 对他人意图的解释; 自己的需要与表达; 权力和安全风险 Escalation signals: 持续欺凌、跟踪或威胁; 现实人身安全风险","","","","","","","","","","","",""
"issue_type:loneliness","issue_type","loneliness","孤独 / 空虚 / 意义感下降","server/knowledge/issue_types/loneliness.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","缺少连接、归属或意义感的主观体验，可与社交减少、关系变化、低能量和消极想法并存。 Key dimensions: 连接缺失的类型; 近期关系或生活变化; 现有支持; 消极生存意愿与安全 Escalation signals: 活着没有意义或想消失; 明确自伤、自杀想法或计划","","","","","","","","","","","",""
"issue_type:low_energy","issue_type","low_energy","低能量 / 提不起劲","server/knowledge/issue_types/low_energy.json","pending_clinical_review","unreviewed","L2_guideline_informed","ordinary_psychoeducation","持续感到精力不足、启动困难或兴趣下降；需同时留意作息、身体状况、现实负荷和安全风险。 Key dimensions: 持续时间与频率; 睡眠食欲和身体状态; 学习工作与基本生活影响; 近期压力或疾病 Escalation signals: 无法维持进食饮水或基本生活; 强烈绝望、自伤或自杀想法","","","","","","","","","","","",""
"issue_type:procrastination","issue_type","procrastination","拖延 / 行动困难","server/knowledge/issue_types/procrastination.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","明知任务重要却难以启动或持续，常与压力、回避、完美标准、低能量或注意力负荷有关。 Key dimensions: 具体任务与时间压力; 开始前的想法和感受; 回避后的短期结果; 精力与执行环境 Escalation signals: 基本生活长期无法启动; 伴随强烈绝望或自伤想法","","","","","","","","","","","",""
"issue_type:romantic_relationship","issue_type","romantic_relationship","亲密关系困扰","server/knowledge/issue_types/romantic_relationship.json","pending_clinical_review","unreviewed","L3_contextual_psychoeducation","ordinary_psychoeducation","恋爱、伴侣或婚姻关系中的不确定、冲突、分离、信任与边界问题。 Key dimensions: 具体互动模式; 需要与期待; 沟通和边界; 控制暴力或性安全 Escalation signals: 控制、跟踪、威胁、家暴或性暴力; 分离后出现自伤或伤人意图","","","","","","","","","","","",""
"issue_type:rumination","issue_type","rumination","反刍 / 停不下来的想法","server/knowledge/issue_types/rumination.json","pending_clinical_review","unreviewed","L3_psychoeducation","ordinary_psychoeducation","同一事件、问题或自我评价被反复回放，却没有形成新信息或可执行下一步。 Key dimensions: 反复内容; 触发时段; 是否产生新信息; 睡眠专注与情绪影响 Escalation signals: 连续严重失眠; 反复内容包含自伤、自杀或伤人计划","","","","","","","","","","","",""
